,molecule_chembl_id,IC50,units,units,smiles,pIC50
0,CHEMBL815,4200.0,nM,nM,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O,5.376750709602099
1,CHEMBL548,0.7,nM,nM,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,9.154901959985743
2,CHEMBL275667,1.4,nM,nM,O=C1CC[C@H](/C=C/[C@@H](O)Cc2ccccc2)N1CCCCCCc1nnn[nH]1,8.853871964321762
3,CHEMBL400404,24000.0,nM,uM,CC(=O)Nc1cccc(-c2ccc(Cc3ocnc3C(=O)N[C@@H](Cc3ccccc3)C(=O)O)cc2)c1,4.619788758288394
4,CHEMBL521609,12500.0,nM,uM,Cn1cc(/C=C/C(=O)NS(=O)(=O)c2ccc(F)c(F)c2)c2c(Oc3ccc4ccccc4c3)cccc21,4.903089986991944
5,CHEMBL489310,20400.0,nM,uM,Cn1cc(/C=C/C(=O)NS(=O)(=O)c2ccc(F)c(F)c2)c2c(Oc3ccc(Cl)c(Cl)c3)cccc21,4.690369832574102
6,CHEMBL459885,14600.0,nM,uM,Cn1cc(/C=C/C(=O)NS(=O)(=O)c2ccc(F)c(F)c2)c2c(Oc3ccc(Cl)cc3Cl)cccc21,4.835647144215563
7,CHEMBL475348,13000.0,nM,uM,Cn1cc(/C=C/C(=O)NS(=O)(=O)c2cc(F)c(F)cc2F)c2c(Oc3ccc(Cl)c(Cl)c3)cccc21,4.886056647693163
8,CHEMBL521777,10000.0,nM,uM,Cn1cc(/C=C/C(=O)NS(=O)(=O)c2cc(F)c(F)cc2F)c2c(Oc3ccc(Cl)c(F)c3)cccc21,5.0
9,CHEMBL461571,3700.0,nM,uM,Cc1c(C(=O)c2ccc(Cl)cc2)c2ccc(OC(F)(F)F)cc2n1Cc1cccc(O[C@H](C)C(=O)O)c1,5.431798275933005
10,CHEMBL482330,7500.0,nM,uM,COc1cccc(CN2C(=O)CC3(C)CCCC(/C=C/C(=O)NS(=O)(=O)c4ccc(F)c(F)c4)=C23)c1,5.1249387366083
11,CHEMBL479664,7700.0,nM,uM,CC12CCCC(/C=C/C(=O)NS(=O)(=O)c3ccc(F)c(F)c3)=C1N(Cc1ccc(F)c(F)c1)C(=O)C2,5.113509274827518
12,CHEMBL482018,20800.0,nM,uM,CC12CCCC(/C=C/C(=O)NS(=O)(=O)c3cc(F)c(F)cc3F)=C1N(Cc1cccc(Cl)c1Cl)C(=O)C2,4.681936665037238
13,CHEMBL479439,20800.0,nM,uM,CC12CCCC(/C=C/C(=O)NS(=O)(=O)c3cc(F)c(F)cc3F)=C1N(Cc1ccc(Cl)cc1Cl)C(=O)C2,4.681936665037238
14,CHEMBL479263,6200.0,nM,uM,CC12CCCC(/C=C/C(=O)NS(=O)(=O)c3cc(F)c(F)cc3F)=C1N(Cc1ccc(F)c(F)c1)C(=O)C2,5.207608310501746
15,CHEMBL565591,8039.0,nM,nM,Cc1cn(Cc2ccc(Cl)cc2Cl)c2c(/C=C/C(=O)NS(=O)(=O)c3cc(Cl)c(Cl)s3)cc(F)cc12,5.094797971337681
16,CHEMBL565992,10172.0,nM,nM,O=C(COc1cccc2ncn(Cc3ccc(Cl)cc3Cl)c12)NS(=O)(=O)c1cc(Cl)c(Cl)s1,4.992593648496329
17,CHEMBL467632,6498.0,nM,nM,O=C(COc1cccc2[nH]cc(Cc3ccc4ccccc4c3)c12)NS(=O)(=O)c1cc(Cl)c(Cl)s1,5.187220292991036
18,CHEMBL585581,8178.0,nM,nM,O=C(/C=C/c1cccc2ccn(Cc3ccc(Cl)cc3Cl)c12)NS(=O)(=O)c1cccs1,5.0873528937816825
19,CHEMBL565799,3647.0,nM,nM,Cc1cn(Cc2ccc3ccccc3c2)c2c(/C=C/C(=O)NS(=O)(=O)c3cc(Cl)c(Cl)s3)cc(F)cc12,5.438064236686219
20,CHEMBL1081186,18600.0,nM,uM,Cc1cn(Cc2ccc(Cl)cc2Cl)c2c(-c3cc(NS(=O)(=O)c4ccc(F)c(F)c4)no3)cc(F)cc12,4.730487055782084
21,CHEMBL1093791,15100.0,nM,uM,O=C(/C=C/c1cccc2c1N(Cc1ccc3ccccc3c1)C(=O)C2O)NS(=O)(=O)c1ccc(F)cc1,4.82102305270683
22,CHEMBL1093792,2300.0,nM,uM,O=C(/C=C/c1cccc2c1N(Cc1ccc3ccccc3c1)C(=O)C2O)NS(=O)(=O)c1ccc(F)c(F)c1,5.638272163982407
23,CHEMBL1093125,8700.0,nM,uM,O=C(/C=C/c1cccc2c1N(Cc1ccc3ccccc3c1)C(=O)C2O)NS(=O)(=O)c1cc(F)c(F)cc1F,5.060480747381382
24,CHEMBL1669018,4.6,nM,nM,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC3(NC(=O)Cc4ccccc4OC)CC3)cc1C)C2,8.337242168318426
25,CHEMBL1669017,4.9,nM,nM,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC3(NC(=O)Cc4ncccc4OC)CC3)cc1C)C2,8.309803919971486
26,CHEMBL1669016,3.8,nM,nM,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC3(NC(=O)Cc4cc(C(=O)O)ccc4OC)CC3)cc1C)C2,8.42021640338319
27,CHEMBL1669015,6.0,nM,nM,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC3(NC(=O)Cc4ccccc4Cl)CC3)cc1C)C2,8.221848749616356
28,CHEMBL1669014,2.1,nM,nM,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC3(NC(=O)Cc4ccc(Cl)cc4Cl)CC3)cc1C)C2,8.67778070526608
29,CHEMBL1669013,1.5,nM,nM,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC3(NC(=O)NS(=O)(=O)c4ccc(C)cc4)CC3)cc1C)C2,8.823908740944319
30,CHEMBL1669012,2.4,nM,nM,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC3(NC(=O)NS(=O)(=O)c4ccccc4Cl)CC3)cc1C)C2,8.619788758288394
31,CHEMBL1669011,3.0,nM,nM,Cc1cc(CC2(NC(=O)NS(=O)(=O)c3ccccc3Cl)CC2)ccc1N1Cc2c(c(OCC(F)(F)F)c3cccnc3c2OCC(F)(F)F)C1=O,8.522878745280337
32,CHEMBL1669010,3.3,nM,nM,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC3(NC(=O)NS(=O)(=O)c4ccccc4C)CC3)cc1C)C2,8.481486060122112
33,CHEMBL1669009,3.8,nM,nM,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC3(NC(=O)NS(=O)(=O)c4ccccc4OC)CC3)cc1C)C2,8.42021640338319
34,CHEMBL1669008,3.0,nM,nM,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC3(NC(=O)NS(=O)(=O)c4c(Cl)cccc4Cl)CC3)cc1C)C2,8.522878745280337
35,CHEMBL1669007,2.5,nM,nM,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC3(NC(=O)NS(=O)(=O)c4ccc5ccccc5c4)CC3)cc1C)C2,8.602059991327963
36,CHEMBL1669006,3.3,nM,nM,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC3(NC(=O)NS(=O)(=O)c4ccccc4C(F)(F)F)CC3)cc1C)C2,8.481486060122112
37,CHEMBL1669005,3.3,nM,nM,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC3(NC(=O)NS(=O)(=O)c4c(OC)cccc4OC)CC3)cc1C)C2,8.481486060122112
38,CHEMBL1669004,2.2,nM,nM,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC3(NC(=O)NS(=O)(=O)c4ccccc4Br)CC3)cc1C)C2,8.657577319177793
39,CHEMBL1669003,8.9,nM,nM,Cc1cc(CC2(NC(=O)NS(=O)(=O)c3ccc4ccccc4c3)CC2)ccc1N1Cc2c(c(OCC(F)(F)F)c3cccnc3c2OCC(F)(F)F)C1=O,8.050609993355087
40,CHEMBL1669002,8.3,nM,nM,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC3(NC(=O)NS(=O)(=O)c4ccc(OC(F)(F)F)cc4)CC3)cc1C)C2,8.080921907623926
41,CHEMBL1669024,4.6,nM,nM,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC3(NC(=O)NS(=O)(=O)c4ccc(F)cc4)CC3)cc1C)C2,8.337242168318426
42,CHEMBL1669025,2.0,nM,nM,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC3(NC(=O)NS(=O)(=O)c4cccc(Cl)c4Cl)CC3)cc1C)C2,8.698970004336019
43,CHEMBL1669026,3.2,nM,nM,CCOc1c2c(c(OCC)c3ccccc13)C(=O)N(c1ccc(CC3(NC(=O)NS(=O)(=O)c4c(C)cccc4C)CC3)cc1C)C2,8.494850021680094
44,CHEMBL591666,10.0,nM,nM,C[C@H](NC(=O)c1cc(Cl)ccc1Oc1ccc(F)cc1)c1ccc(C(=O)O)cc1,8.0
45,CHEMBL1910022,2.0,nM,nM,C[C@H](NC(=O)c1cccc2c1Oc1cc(C(F)(F)F)ccc1CC2)c1ccc(C(=O)O)cc1,8.698970004336019
46,CHEMBL1910023,4.0,nM,nM,O=C(O)c1ccc(C2(NC(=O)c3cccc4c3Oc3cc(C(F)(F)F)ccc3CC4)CC2)cc1,8.397940008672037
47,CHEMBL1910024,63.0,nM,nM,C[C@H](NC(=O)c1cccc2c1Oc1ccc(C(F)(F)F)cc1CC2)c1ccc(C(=O)O)cc1,7.200659450546418
48,CHEMBL1910025,27.0,nM,nM,O=C(O)c1ccc(C2(NC(=O)c3cccc4c3Oc3ccc(C(F)(F)F)cc3CC4)CC2)cc1,7.568636235841012
49,CHEMBL3115074,123.0,nM,nM,C[C@H](NC(=O)[C@H]1CCCCN1CCOc1ccccc1)c1ccc(C(=O)O)cc1.Cl,6.910094888560602
50,CHEMBL3260419,1000.0,nM,uM,Cc1oc(C(=O)O)cc1COc1ccc(-c2ccccc2)cc1,6.0
51,CHEMBL3260420,1200.0,nM,uM,CC(C)c1c(C(=O)O)cnn1-c1nc(-c2ccc3ccccc3c2)cs1,5.920818753952375
52,CHEMBL3260421,460.0,nM,uM,O=C(O)c1ccc2c(c1)C(=O)N(c1ccc3c(c1)oc1ccccc13)C2=O,6.337242168318426
53,CHEMBL1537470,2600.0,nM,uM,O=C(Cc1cccc2ccccc12)Nc1ccccc1C(=O)O,5.585026652029182
54,CHEMBL3260422,1000.0,nM,uM,CC(=O)c1ccc(NS(=O)(=O)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc2C)cc1,6.0
55,CHEMBL3260423,4600.0,nM,uM,Cc1oc(C(=O)O)cc1COc1ccc2oc3ccccc3c2c1,5.337242168318426
56,CHEMBL3260426,10000.0,nM,uM,Cc1oc(C(=O)O)cc1COc1cccc(-c2ccccc2)c1,5.0
57,CHEMBL3586359,18000.0,nM,uM,O=c1cc(CN2CCOc3c(Cl)cc(-c4csc5ccccc45)cc3C2)cc[nH]1,4.7447274948966935
58,CHEMBL3586353,3200.0,nM,uM,Clc1cc(-c2csc3ccccc23)cc2c1OCCN(Cc1cccnc1)C2,5.494850021680094
59,CHEMBL3586362,20000.0,nM,uM,C[C@@H]1COc2c(Cl)cc(-n3ccc4cc(F)ccc43)cc2CN1Cc1cc[nH]c(=O)c1,4.698970004336019
60,CHEMBL3586361,30000.0,nM,uM,C[C@@H]1COc2c(Cl)cc(-c3csc4ccccc34)cc2CN1Cc1cc[nH]c(=O)c1,4.522878745280337
61,CHEMBL3586360,30000.0,nM,uM,O=c1cc(CN2CCOc3c(Cl)cc(-n4ccc5cc(F)ccc54)cc3C2)cc[nH]1,4.522878745280337
62,CHEMBL3586309,3500.0,nM,uM,COc1cc(-c2csc3ccccc23)cc2c1OCCN(Cc1cccnc1)C2,5.455931955649724
63,CHEMBL3600884,121.0,nM,nM,C[C@H](NC(=O)[C@H]1CCCCN1CCOc1ccc(F)cc1)c1ccc(C(=O)O)cc1.Cl,6.91721462968355
64,CHEMBL3600883,1209.0,nM,nM,C[C@H](NC(=O)[C@H]1CCCCN1CCOc1ccc(C#N)cc1)c1ccc(C(=O)O)cc1.Cl,5.917573699139228
65,CHEMBL3600788,586.0,nM,nM,Cl.O=C(O)c1ccc(C2(NC(=O)[C@H]3CCCCN3CCOc3ccccc3)CC2)cc1,6.232102383981909
66,CHEMBL3600787,291.0,nM,nM,CC[C@H](NC(=O)[C@H]1CCCCN1CCOc1ccccc1)c1ccc(C(=O)O)cc1.Cl,6.536107011014092
67,CHEMBL3600786,899.0,nM,nM,Cl.O=C(O)c1ccc(CNC(=O)[C@H]2CCCCN2CCOc2ccccc2)cc1,6.046240308266771
68,CHEMBL3039498,1614.0,nM,nM,CCc1nc2c(C)nc(C)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1,5.7920964696139485
69,CHEMBL3741642,1980.0,nM,nM,Cc1cc(C(=O)O)cc(C)c1NC(=O)c1cc(-c2ccccc2)nc2ccccc12,5.703334809738469
70,CHEMBL3739779,501.0,nM,nM,Cc1cc(C(=O)O)cc(C)c1NC(=O)c1cc(-c2cccc(CO)c2)nc2ccccc12,6.300162274132754
71,CHEMBL3741902,312.0,nM,nM,Cc1ccc(C(=O)O)c(C)c1NC(=O)c1cc(-c2cccc(CO)c2)nc2ccccc12,6.505845405981557
72,CHEMBL3742015,623.0,nM,nM,Cc1cc(C(=O)O)cc(C)c1NC(=O)c1cc(-c2ccccc2)cc2ccccc12,6.20551195334083
73,CHEMBL3739435,577.0,nM,nM,Cc1ccc(C(=O)O)c(C)c1NC(=O)c1cc(-c2ccccc2)cc2ccccc12,6.238824186844269
74,CHEMBL3741430,136.0,nM,nM,Cc1cc(C(=O)O)cc(C)c1NC(=O)c1cc(-c2cccc(CO)c2)cc2ccccc12,6.866461091629782
75,CHEMBL3740223,6.2,nM,nM,Cc1ccc(C(=O)O)c(C)c1NC(=O)c1cc(-c2cccc(CO)c2)cc2ccccc12,8.207608310501746
76,CHEMBL3740325,243.0,nM,nM,Cc1ccc(C(=O)O)c(C)c1NC(=O)c1cc(-c2cccc(Cl)c2)cc2ccccc12,6.614393726401688
77,CHEMBL3753274,59.5,nM,nM,Cc1ccc(-c2cccc(CO)c2)cc1C(=O)Nc1c(C)ccc(C(=O)O)c1C,7.22548303427145
78,CHEMBL3753133,72.4,nM,nM,Cc1ccc(C(=O)O)c(C)c1NC(=O)c1cc(-c2cccc(CO)c2)ccc1F,7.140261433802853
79,CHEMBL3753860,18.7,nM,nM,Cc1ccc(-c2cccc(CO)c2)cc1C(=O)Nc1c(C)cc(C(=O)O)cc1C,7.7281583934635005
80,CHEMBL3753567,47.8,nM,nM,Cc1cc(C(=O)O)cc(C)c1NC(=O)c1cc(-c2cccc(CO)c2)ccc1F,7.320572103387882
81,CHEMBL3754085,38.7,nM,nM,Cc1ccc(-c2cccc(CO)c2)nc1C(=O)Nc1c(C)ccc(C(=O)O)c1C,7.412289034981089
82,CHEMBL3753286,59.0,nM,nM,Cc1ccc(C(=O)O)c(C)c1NC(=O)c1nc(-c2cccc(CO)c2)ccc1C(F)(F)F,7.229147988357855
83,CHEMBL3753835,56.3,nM,nM,Cc1ccc(-c2cccc(CO)c2)nc1C(=O)Nc1c(C)cc(C(=O)O)cc1C,7.249491605148654
84,CHEMBL3752948,121.0,nM,nM,Cc1cc(C(=O)O)cc(C)c1NC(=O)c1nc(-c2cccc(CO)c2)ccc1C(F)(F)F,6.91721462968355
85,CHEMBL3753372,637.0,nM,nM,Cc1ccc(-c2cccc(Cl)c2)nc1C(=O)Nc1c(C)ccc(C(=O)O)c1C,6.195860567664649
86,CHEMBL3686863,123.0,nM,nM,Cc1ccc(N2CCC(O)CC2)nc1C(=O)Nc1c(C)cc(C(=O)O)cc1C,6.910094888560602
87,CHEMBL3793924,3600.0,nM,nM,Cc1ccc(N2CCC(C)(O)CC2)nc1C(=O)Nc1c(C)cc(C(=O)O)cc1C,5.443697499232712
88,CHEMBL3793002,1160.0,nM,nM,Cc1ccc(N2CCC(F)(F)CC2)nc1C(=O)Nc1c(C)cc(C(=O)O)cc1C,5.935542010773082
89,CHEMBL3793956,1450.0,nM,nM,Cc1ccc(N2CCCC(CO)C2)nc1C(=O)Nc1c(C)cc(C(=O)O)cc1C,5.838631997765026
90,CHEMBL3792709,1450.0,nM,nM,Cc1ccc(N2CCC(O)CC2)nc1C(=O)Nc1c(C)ccc(C(=O)O)c1C,5.838631997765026
91,CHEMBL3793928,2890.0,nM,nM,Cc1ccc(N2CCCC(CO)C2)nc1C(=O)Nc1c(C)ccc(C(=O)O)c1C,5.539102157243452
92,CHEMBL3939358,13100.0,nM,nM,COC(=O)CCCCCC[C@@H]1[C@@H](c2ccc3c(c2)CCC3)[C@H](O)C[C@H]1Cl,4.882728704344236
93,CHEMBL3954286,98.0,nM,nM,COC(=O)CSCCCS[C@H]1C(=O)C(C)(C)[C@@H](O)[C@@H]1/C=C/C(O)CCc1sc2ccccc2c1Cl,7.008773924307505
94,CHEMBL3960625,44.0,nM,nM,CC1(C)C(=O)[C@H](SCCCSCC(=O)O)[C@@H](/C=C/C(O)CCc2sc3ccccc3c2Cl)[C@@H]1O,7.356547323513812
95,CHEMBL3971666,2455.0,nM,nM,COC(=O)CCCC#CC[C@H]1C(=O)C(C)(C)[C@@H](O)[C@@H]1/C=C\C(O)CCc1sc2ccccc2c1Cl,5.609948503541013
96,CHEMBL3950189,200.0,nM,nM,CC1(C)C(=O)[C@H](CC#CCCCC(=O)O)[C@@H](/C=C\C(O)CCc2sc3ccccc3c2Cl)[C@@H]1O,6.698970004336019
97,CHEMBL3979233,2700.0,nM,nM,COC(=O)CCC/C=C\C[C@H]1C(=O)C(C)(C)[C@@H](O)[C@@H]1/C=C/C(O)CCc1sc2ccccc2c1Cl,5.568636235841012
98,CHEMBL3955476,200.0,nM,nM,CC1(C)C(=O)[C@H](C/C=C\CCCC(=O)O)[C@@H](/C=C/C(O)CCc2sc3ccccc3c2Cl)[C@@H]1O,6.698970004336019
99,CHEMBL3966610,400.0,nM,nM,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](CC#CCCCC(=O)O)C(=O)C(C)(C)[C@H]1O,6.3979400086720375
100,CHEMBL3895324,5.5,nM,nM,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)C(=O)C(C)(C)[C@H]1O,8.259637310505756
101,CHEMBL3978305,400.0,nM,nM,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)OC)C(=O)C(C)(C)[C@H]1O,6.3979400086720375
102,CHEMBL3964563,4.0,nM,nM,CC1(C)C(=O)[C@H](C/C=C\CCCC(=O)O)[C@@H](/C=C/C(O)Cc2ccccc2)[C@@H]1O,8.397940008672037
103,CHEMBL3986534,45.0,nM,nM,COC(=O)CCC/C=C\C[C@H]1C(=O)C(C)(C)[C@@H](O)[C@@H]1/C=C/C(O)Cc1ccccc1,7.346787486224656
104,CHEMBL3928703,2400.0,nM,nM,COC(=O)CCC/C=C\C[C@H]1C(=O)C(C)(C)[C@@H](O)[C@@H]1/C=C/C(O)CCc1ccccc1,5.619788758288394
105,CHEMBL3946494,72.0,nM,nM,CC1(C)C(=O)[C@H](C/C=C\CCCC(=O)O)[C@@H](/C=C/C(O)CCc2ccccc2)[C@@H]1O,7.142667503568731
106,CHEMBL3922155,20.0,nM,nM,CC1(C)C(=O)[C@H](C/C=C\CCCC(=O)O)[C@@H](/C=C/C(O)Cc2cc3ccccc3s2)[C@@H]1O,7.698970004336019
107,CHEMBL3909714,832.0,nM,nM,CCN(CC)C(=O)CCC/C=C\C[C@H]1C(=O)C(C)(C)[C@@H](O)[C@@H]1/C=C/C(O)Cc1cc2ccccc2s1,6.0798766737092755
108,CHEMBL3896491,4154.0,nM,nM,CC1(C)C(=O)[C@H](C/C=C\CCCC(=O)NCCO)[C@@H](/C=C/C(O)Cc2cc3ccccc3s2)[C@@H]1O,5.38153350780092
109,CHEMBL3900651,678.0,nM,nM,CC1(C)C(=O)[C@H](C/C=C\CCCC(N)=O)[C@@H](/C=C/C(O)Cc2cc3ccccc3s2)[C@@H]1O,6.168770306132936
110,CHEMBL3923193,219.0,nM,nM,COC(=O)CCC/C=C\C[C@H]1C(=O)C(C)(C)[C@@H](O)[C@@H]1/C=C/C(O)Cc1cc2ccccc2s1,6.6595558851598815
111,CHEMBL3954031,256.0,nM,nM,CC1(C)C(=O)[C@H](CC#CCCCC(=O)O)[C@@H](/C=C/C(O)Cc2cc3ccccc3s2)[C@@H]1O,6.59176003468815
112,CHEMBL64804,0.38,nM,nM,CCCCC[C@@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,9.42021640338319
113,CHEMBL3982139,1.2,nM,nM,CC#CC[C@H](C)[C@H](O)/C=C/[C@H]1CC(F)(F)C(=O)N1CCCCCCC(=O)O,8.920818753952375
114,CHEMBL3918816,1.3,nM,nM,CCC#CC[C@H](C)[C@H](O)/C=C/[C@H]1CC(F)(F)C(=O)N1CCCCCCC(=O)O,8.886056647693163
115,CHEMBL3897335,2.4,nM,nM,C[C@@H](CCCc1ccccc1)[C@H](O)/C=C/[C@H]1CC(F)(F)C(=O)N1CCCCCCC(=O)O,8.619788758288394
116,CHEMBL3955128,0.57,nM,nM,CCCCC[C@H](O)/C=C/[C@H]1CC(F)(F)C(=O)N1CCCCCCC(=O)O,9.244125144327509
117,CHEMBL3959605,4.9,nM,nM,O=C(O)CCCCCCN1C(=O)C(F)(F)C[C@@H]1/C=C/[C@@H](O)CCCCc1ccccc1,8.309803919971486
118,CHEMBL3895047,0.32,nM,nM,CCC#CC[C@H](C)[C@H](O)/C=C/[C@H]1CC(F)(F)C(=O)N1CCc1ccc(C(=O)O)cc1,9.494850021680094
119,CHEMBL3923027,0.22,nM,nM,CCCCC[C@H](O)/C=C/[C@H]1CC(F)(F)C(=O)N1CCc1ccc(C(=O)O)cc1,9.657577319177793
120,CHEMBL3949856,3.3,nM,nM,CCC#CC[C@H](C)[C@H](O)/C=C/[C@H]1CC(F)(F)C(=O)N1CCCc1ccc(C(=O)O)s1,8.481486060122112
121,CHEMBL3975743,0.74,nM,nM,C[C@@H](CCCc1ccccc1)[C@H](O)/C=C/[C@H]1CC(F)(F)C(=O)N1CCCc1ccc(C(=O)O)s1,9.130768280269024
122,CHEMBL3916499,0.28,nM,nM,CCCCC[C@H](O)/C=C/[C@H]1CC(F)(F)C(=O)N1CCCc1ccc(C(=O)O)s1,9.55284196865778
123,CHEMBL4103046,104.0,nM,nM,O=C(O)c1ccc(CNC(=O)c2cc(F)cnc2Oc2ccc(F)cc2)cc1,6.982966660701219
124,CHEMBL4092846,124.0,nM,nM,O=C(O)c1ccc(CNC(=O)c2cc(F)ccc2Oc2ccc(F)cc2)cc1,6.906578314837764
125,CHEMBL4065183,37.9,nM,nM,O=C(O)c1ccc(CNC(=O)c2cc(Cl)cnc2Oc2ccc(F)cc2)cc1,7.421360790031928
126,CHEMBL4066230,21.6,nM,nM,O=C(O)c1ccc(CNC(=O)c2cc(Cl)ccc2Oc2ccc(F)cc2)cc1,7.665546248849069
127,CHEMBL4095293,28.7,nM,nM,C[C@H](NC(=O)c1cc(F)cnc1Oc1ccc(F)cc1)c1ccc(C(=O)O)cc1,7.542118103266008
128,CHEMBL4096216,9.68,nM,nM,C[C@H](NC(=O)c1cc(Cl)cnc1Oc1ccc(F)cc1)c1ccc(C(=O)O)cc1,8.014124642691606
129,CHEMBL4061595,545.0,nM,nM,CC(C)(NC(=O)c1cc(F)cnc1Oc1ccc(F)cc1)c1ccc(C(=O)O)cc1,6.2636034977233574
130,CHEMBL4072974,181.0,nM,nM,CCC(NC(=O)c1cc(F)cnc1Oc1ccc(F)cc1)c1ccc(C(=O)O)cc1,6.7423214251308154
131,CHEMBL4099851,2.4,nM,nM,C[C@H](NC(=O)c1cc(Cl)cnc1Oc1cccc(F)c1)c1ccc(C(=O)O)cc1,8.619788758288394
132,CHEMBL4062620,5.02,nM,nM,C[C@H](NC(=O)c1cc(Cl)cnc1Oc1cccc(Cl)c1)c1ccc(C(=O)O)cc1,8.29929628285498
133,CHEMBL4094572,13.4,nM,nM,C[C@H](NC(=O)c1cc(Cl)cnc1Oc1cccc(C#N)c1)c1ccc(C(=O)O)cc1,7.872895201635192
134,CHEMBL4078648,8.76,nM,nM,C[C@H](NC(=O)c1cc(Cl)ccc1Oc1cccc(F)c1)c1ccc(C(=O)O)cc1,8.05749589383192
135,CHEMBL4535971,0.4,nM,nM,C/C=C/c1nnn(Cc2ccc(C(F)(F)F)cc2)c1C(=O)N[C@@H](C)c1ccc(C(=O)O)cc1,9.397940008672037
136,CHEMBL4448899,1120.0,nM,uM,Cc1c(NC(=O)c2cc(C(N)=O)nc3cc(F)ccc23)c(C(F)(F)F)nn1Cc1ccc(C#N)cc1,5.950781977329818
137,CHEMBL5272661,2.0,nM,nM,CC(C)CC(=O)c1ccc(CCCN2C(=O)CC[C@@H]2CC[C@@H](O)Cc2cccc(C(F)(F)F)c2)s1,8.698970004336019
138,CHEMBL378376,2.0,nM,nM,O=C(O)c1ccc(CCCN2C(=O)CC[C@@H]2CC[C@@H](O)Cc2cccc(C(F)(F)F)c2)s1,8.698970004336019
139,CHEMBL3670685,13.5,nM,nM,C[C@H](NC(=O)c1c(C(F)F)nn(C)c1Oc1cccc(C(F)(F)F)c1)c1ccc(C(=O)O)cc1,7.8696662315049934
